,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
39,11504837,Male,59,1,28,1,1-2 Year,No,44778,26,21
40,11504838,Female,23,1,36,1,< 1 Year,No,2630,26,160
41,11504839,Male,57,1,28,0,1-2 Year,Yes,50966,124,96
42,11504840,Female,24,1,35,0,< 1 Year,Yes,25982,152,236
43,11504841,Female,34,1,11,1,1-2 Year,No,43152,152,96
44,11504842,Male,72,0,8,0,1-2 Year,Yes,49269,124,220
45,11504843,Male,53,1,28,0,> 2 Years,Yes,39741,26,228
46,11504844,Male,79,1,40,1,1-2 Year,Yes,38290,26,205
47,11504845,Female,49,1,39,1,1-2 Year,No,37195,26,254
48,11504846,Male,44,1,8,0,1-2 Year,Yes,43941,124,100
49,11504847,Male,21,1,32,0,< 1 Year,Yes,28178,152,252
50,11504848,Female,31,1,28,1,< 1 Year,No,28171,152,31
51,11504849,Female,28,1,34,1,< 1 Year,No,34305,152,244
52,11504850,Female,23,1,41,1,< 1 Year,No,51724,152,114
53,11504851,Female,26,1,2,0,< 1 Year,Yes,33923,160,187
54,11504852,Female,24,1,6,1,< 1 Year,No,27960,152,123
55,11504853,Female,39,1,28,1,1-2 Year,No,32105,124,261
56,11504854,Female,21,1,34,0,< 1 Year,Yes,2630,160,177
57,11504855,Female,24,1,47,0,< 1 Year,No,33332,152,145
58,11504856,Female,23,1,6,0,< 1 Year,No,32419,26,147
59,11504857,Male,42,1,28,0,1-2 Year,Yes,38768,26,94
60,11504858,Female,26,1,41,1,< 1 Year,No,23781,152,117
61,11504859,Male,31,1,8,0,< 1 Year,Yes,50701,152,175
62,11504860,Female,74,1,28,1,1-2 Year,No,37351,26,187
63,11504861,Female,62,1,31,1,1-2 Year,No,2630,26,164
64,11504862,Male,21,1,8,0,< 1 Year,No,56927,160,68
65,11504863,Female,26,1,19,0,< 1 Year,No,29555,152,177
66,11504864,Female,24,1,28,1,1-2 Year,No,24275,124,202
67,11504865,Male,41,1,49,1,1-2 Year,No,2630,26,247
68,11504866,Female,22,1,30,1,< 1 Year,No,26505,152,211
69,11504867,Male,43,1,9,0,1-2 Year,Yes,2630,156,287
70,11504868,Male,44,1,28,0,1-2 Year,Yes,37382,124,249
71,11504869,Female,53,1,6,1,1-2 Year,No,30308,152,227
72,11504870,Female,39,1,8,0,1-2 Year,Yes,37397,26,240
73,11504871,Female,25,1,8,1,< 1 Year,No,38930,152,235
74,11504872,Male,56,1,46,0,1-2 Year,Yes,27021,21,249
75,11504873,Female,45,1,28,0,1-2 Year,Yes,54521,124,176
76,11504874,Female,23,1,47,1,< 1 Year,No,28327,160,156
77,11504875,Male,61,1,30,1,1-2 Year,No,25495,152,131
78,11504876,Male,44,1,29,0,1-2 Year,Yes,31588,26,36
79,11504877,Female,31,1,14,0,< 1 Year,No,20262,153,165
80,11504878,Female,76,1,47,1,1-2 Year,Yes,34696,26,54
81,11504879,Female,21,1,18,0,< 1 Year,Yes,2630,156,95
82,11504880,Male,33,1,20,0,1-2 Year,No,2630,29,268
83,11504881,Male,46,1,28,0,1-2 Year,Yes,36995,26,272
84,11504882,Female,46,1,28,0,> 2 Years,Yes,80435,26,220
85,11504883,Female,40,1,28,0,1-2 Year,Yes,30708,26,109
86,11504884,Male,21,1,43,0,< 1 Year,Yes,23111,152,92
87,11504885,Male,38,1,28,0,1-2 Year,Yes,2630,26,268
88,11504886,Female,25,1,21,1,< 1 Year,No,2630,152,209
89,11504887,Male,72,1,28,0,1-2 Year,Yes,37752,26,132
90,11504888,Male,30,1,28,0,1-2 Year,No,2630,26,267
91,11504889,Female,71,1,28,1,1-2 Year,No,82222,24,112
92,11504890,Male,27,1,8,1,< 1 Year,No,38066,152,71
93,11504891,Male,54,1,12,1,1-2 Year,No,2630,26,94
94,11504892,Female,45,1,8,1,1-2 Year,No,32949,124,248
95,11504893,Female,24,1,8,1,< 1 Year,No,35187,152,197
96,11504894,Female,28,1,41,1,< 1 Year,Yes,2630,160,19
97,11504895,Female,30,1,6,1,< 1 Year,No,21528,152,263
98,11504896,Female,42,1,20,0,1-2 Year,Yes,2630,26,205
99,11504897,Female,24,1,28,0,< 1 Year,Yes,50871,124,234
100,11504898,Male,75,1,15,1,1-2 Year,No,28752,124,230
101,11504899,Male,24,1,39,0,< 1 Year,No,49443,151,95
102,11504900,Female,20,1,37,0,< 1 Year,Yes,27192,160,145
103,11504901,Female,45,1,28,0,1-2 Year,Yes,52895,26,208
104,11504902,Female,24,1,21,1,< 1 Year,No,29213,152,227
105,11504903,Male,43,1,28,0,1-2 Year,Yes,47378,124,233
106,11504904,Male,44,1,18,0,1-2 Year,Yes,36007,4,141
107,11504905,Female,70,1,28,1,1-2 Year,No,44704,124,34
108,11504906,Male,21,1,15,0,< 1 Year,No,33981,152,268
109,11504907,Female,22,1,28,1,< 1 Year,No,39703,152,18
110,11504908,Female,25,1,36,1,< 1 Year,No,43871,152,131
111,11504909,Female,44,1,8,1,1-2 Year,No,44227,26,143
112,11504910,Male,23,1,37,1,< 1 Year,No,31516,26,190
113,11504911,Female,46,1,39,0,1-2 Year,Yes,2630,26,56
114,11504912,Male,31,1,28,1,< 1 Year,No,30498,152,96
115,11504913,Male,23,1,2,0,< 1 Year,Yes,35004,152,165
116,11504914,Male,35,1,36,0,1-2 Year,Yes,41006,124,220
117,11504915,Female,44,1,46,0,1-2 Year,No,2630,124,117
118,11504916,Female,42,1,28,0,> 2 Years,Yes,44186,124,99
119,11504917,Female,40,1,8,1,1-2 Year,No,24847,124,74
120,11504918,Male,47,1,28,0,1-2 Year,Yes,33171,26,288
121,11504919,Male,55,1,34,0,1-2 Year,Yes,29082,26,242
122,11504920,Male,22,1,36,0,< 1 Year,Yes,28695,160,150
123,11504921,Male,24,1,11,1,< 1 Year,No,31225,152,114
124,11504922,Female,46,1,28,0,1-2 Year,Yes,24002,60,42
125,11504923,Male,32,1,41,0,< 1 Year,Yes,23309,152,210
126,11504924,Female,55,1,28,0,1-2 Year,Yes,47952,26,70
127,11504925,Female,23,1,46,1,< 1 Year,No,40271,152,66
128,11504926,Male,46,1,28,1,1-2 Year,No,46015,124,263
129,11504927,Male,65,1,48,1,1-2 Year,Yes,2630,124,182
130,11504928,Male,44,1,28,0,1-2 Year,Yes,29069,124,69
131,11504929,Female,66,1,46,0,1-2 Year,Yes,39303,11,103
132,11504930,Male,42,1,28,0,1-2 Year,Yes,37813,26,69
133,11504931,Male,50,1,28,0,1-2 Year,Yes,44728,124,233
134,11504932,Male,21,1,3,1,< 1 Year,No,44654,160,228
135,11504933,Female,56,1,28,1,1-2 Year,No,44012,26,57
136,11504934,Male,32,1,47,0,1-2 Year,Yes,2630,163,284
137,11504935,Male,25,1,4,1,< 1 Year,No,22394,152,37
138,11504936,Female,22,1,6,1,< 1 Year,No,25785,152,37
139,11504937,Male,52,1,8,0,1-2 Year,Yes,39667,26,292
140,11504938,Male,41,1,28,1,1-2 Year,No,34166,124,160
141,11504939,Male,53,1,49,0,1-2 Year,Yes,35350,152,194
142,11504940,Female,51,1,30,1,1-2 Year,No,47673,152,217
143,11504941,Female,27,1,50,1,< 1 Year,No,48532,152,189
144,11504942,Female,48,1,28,0,1-2 Year,Yes,35807,124,269
145,11504943,Male,45,1,28,0,> 2 Years,Yes,62685,54,73
146,11504944,Female,29,1,11,1,< 1 Year,No,35990,152,103
147,11504945,Female,48,1,34,1,1-2 Year,No,34296,152,187
148,11504946,Female,21,1,46,1,< 1 Year,No,24250,152,195
149,11504947,Female,54,1,43,0,1-2 Year,Yes,45447,26,253
150,11504948,Male,51,1,28,0,1-2 Year,Yes,33240,26,296
151,11504949,Male,72,1,28,0,1-2 Year,Yes,29555,124,219
152,11504950,Female,48,1,28,0,1-2 Year,Yes,29056,124,188
153,11504951,Male,23,1,15,0,< 1 Year,Yes,32823,152,261
154,11504952,Female,22,1,39,0,< 1 Year,Yes,2630,152,130
155,11504953,Male,21,1,47,0,< 1 Year,Yes,29882,152,141
156,11504954,Male,50,1,28,1,1-2 Year,No,2630,124,122
157,11504955,Male,39,1,28,0,1-2 Year,Yes,48249,124,57
158,11504956,Female,21,1,8,0,< 1 Year,Yes,35860,152,195
159,11504957,Male,65,1,28,0,1-2 Year,Yes,46418,26,39
160,11504958,Female,61,1,8,1,1-2 Year,No,35795,152,235
161,11504959,Female,38,1,28,0,1-2 Year,Yes,36331,26,237
162,11504960,Female,24,1,22,1,< 1 Year,No,2630,152,85
163,11504961,Female,23,1,8,1,< 1 Year,No,38487,152,95
164,11504962,Male,53,1,28,0,1-2 Year,No,28750,26,191
165,11504963,Male,27,1,28,1,< 1 Year,No,59978,152,131
166,11504964,Male,69,1,28,0,1-2 Year,Yes,28321,26,283
167,11504965,Male,53,1,9,1,1-2 Year,No,33012,4,209
168,11504966,Female,24,1,36,1,< 1 Year,No,2630,151,221
169,11504967,Female,51,1,40,0,1-2 Year,Yes,33554,163,293
170,11504968,Male,50,1,28,0,> 2 Years,Yes,38011,26,103
171,11504969,Female,24,1,28,1,< 1 Year,No,53586,152,256
172,11504970,Male,20,1,11,1,< 1 Year,No,25104,160,157
173,11504971,Male,41,1,41,0,1-2 Year,Yes,30657,124,105
174,11504972,Female,24,1,30,1,< 1 Year,No,28910,152,273
175,11504973,Female,21,1,15,0,< 1 Year,Yes,35005,160,61
176,11504974,Male,72,1,28,0,> 2 Years,Yes,53539,26,148
177,11504975,Male,21,1,50,1,< 1 Year,No,30963,152,173
178,11504976,Female,46,1,36,0,1-2 Year,Yes,35277,124,241
179,11504977,Male,52,1,7,0,> 2 Years,Yes,2630,156,88
180,11504978,Female,29,1,8,1,< 1 Year,No,25199,152,42
181,11504979,Female,23,1,50,1,< 1 Year,No,38223,152,38
182,11504980,Male,73,1,28,0,> 2 Years,Yes,62930,163,34
183,11504981,Male,42,1,28,0,1-2 Year,Yes,41024,124,227
184,11504982,Male,24,1,28,0,< 1 Year,Yes,38322,152,89
185,11504983,Male,24,1,15,1,< 1 Year,No,35661,152,195
186,11504984,Female,69,1,19,0,1-2 Year,Yes,2630,124,160
187,11504985,Female,27,1,14,1,< 1 Year,No,21246,152,213
188,11504986,Male,31,1,41,0,< 1 Year,Yes,23024,152,128
189,11504987,Male,26,1,28,1,< 1 Year,No,2630,152,101
190,11504988,Female,20,1,11,1,< 1 Year,No,2630,160,135
191,11504989,Male,27,1,34,1,< 1 Year,No,2630,152,185
192,11504990,Female,21,1,41,1,< 1 Year,No,35899,152,165
193,11504991,Male,26,1,17,1,< 1 Year,No,35209,152,98
194,11504992,Male,54,1,28,0,1-2 Year,Yes,35363,26,30
195,11504993,Male,22,1,46,1,< 1 Year,No,25350,160,194
196,11504994,Female,26,1,41,1,< 1 Year,No,33078,152,110
197,11504995,Female,50,1,28,0,> 2 Years,Yes,46831,26,226
198,11504996,Female,42,1,22,0,1-2 Year,Yes,31908,31,156
199,11504997,Male,23,1,28,0,< 1 Year,Yes,40884,124,119
200,11504998,Male,22,1,28,1,1-2 Year,Yes,46756,124,113
201,11504999,Female,24,1,15,1,< 1 Year,No,23594,152,277
202,11505000,Male,25,1,33,1,< 1 Year,No,31655,152,193
203,11505001,Male,54,1,33,1,1-2 Year,No,29444,124,195
204,11505002,Female,23,1,29,1,< 1 Year,No,28994,152,33
205,11505003,Male,40,1,28,0,1-2 Year,Yes,46798,122,12
206,11505004,Male,53,1,28,1,1-2 Year,No,29861,124,194
207,11505005,Female,53,1,28,0,1-2 Year,Yes,28473,26,105
208,11505006,Female,35,1,39,0,1-2 Year,Yes,40550,124,126
209,11505007,Female,42,1,28,0,1-2 Year,Yes,37200,124,219
210,11505008,Male,50,1,28,0,1-2 Year,Yes,41279,26,19
211,11505009,Male,43,1,14,1,1-2 Year,No,2630,124,86
212,11505010,Male,23,1,28,1,< 1 Year,Yes,28288,153,292
213,11505011,Female,76,1,28,0,1-2 Year,Yes,46744,55,192
214,11505012,Female,44,1,28,0,1-2 Year,Yes,45896,26,197
215,11505013,Male,66,1,28,0,> 2 Years,Yes,45480,26,130
216,11505014,Female,35,1,11,0,1-2 Year,Yes,29510,124,262
217,11505015,Male,60,1,28,0,1-2 Year,Yes,63879,26,283
218,11505016,Male,49,1,50,0,1-2 Year,Yes,2630,124,96
219,11505017,Female,48,1,28,0,1-2 Year,Yes,43485,26,282
220,11505018,Female,27,1,8,1,< 1 Year,No,35466,152,246
221,11505019,Male,48,1,45,0,1-2 Year,Yes,2630,157,148
222,11505020,Female,47,1,10,0,1-2 Year,Yes,42300,26,227
223,11505021,Female,51,1,28,1,1-2 Year,No,49324,26,173
224,11505022,Male,26,1,50,1,< 1 Year,No,48544,152,139
225,11505023,Female,27,1,28,1,< 1 Year,No,38507,152,83
226,11505024,Male,47,1,47,0,1-2 Year,Yes,48016,154,83
227,11505025,Male,29,1,28,1,< 1 Year,No,94899,152,251
228,11505026,Male,42,1,30,0,1-2 Year,Yes,2630,124,221
229,11505027,Male,31,1,28,0,1-2 Year,Yes,39103,124,44
230,11505028,Male,52,1,9,0,1-2 Year,Yes,2630,163,103
231,11505029,Female,73,1,28,0,1-2 Year,Yes,30553,10,92
232,11505030,Male,62,1,35,0,1-2 Year,Yes,44239,152,201
233,11505031,Male,33,1,41,0,< 1 Year,Yes,32620,152,241
234,11505032,Male,58,1,28,0,> 2 Years,Yes,27792,124,128
235,11505033,Male,23,1,28,1,< 1 Year,No,48966,152,164
236,11505034,Female,22,1,25,1,< 1 Year,No,29568,152,251
237,11505035,Male,48,1,28,1,1-2 Year,No,44237,124,207
238,11505036,Female,47,1,8,0,1-2 Year,Yes,46660,124,136
239,11505037,Female,24,1,50,1,< 1 Year,No,33828,152,263
240,11505038,Male,35,1,24,1,1-2 Year,No,29648,154,113
241,11505039,Male,54,1,39,0,1-2 Year,Yes,2630,124,115
242,11505040,Male,62,1,28,1,1-2 Year,No,44984,124,208
243,11505041,Female,60,1,22,0,1-2 Year,Yes,31680,124,31
244,11505042,Male,50,1,8,0,1-2 Year,Yes,30113,7,145
245,11505043,Male,26,1,28,1,< 1 Year,No,45377,152,174
246,11505044,Female,25,1,28,1,< 1 Year,No,59812,152,59
247,11505045,Male,48,1,28,0,1-2 Year,Yes,50859,26,64
248,11505046,Female,30,1,6,1,< 1 Year,No,29807,152,181
249,11505047,Male,24,1,21,1,< 1 Year,No,30449,152,41
250,11505048,Female,63,1,28,0,> 2 Years,Yes,2630,158,242
251,11505049,Male,35,1,33,1,1-2 Year,No,30954,152,150
252,11505050,Male,20,1,16,1,< 1 Year,No,2630,160,275
253,11505051,Male,22,1,6,1,< 1 Year,No,27984,152,270
254,11505052,Female,25,1,36,1,< 1 Year,No,34849,152,66
255,11505053,Female,33,1,7,0,1-2 Year,Yes,2630,157,105
256,11505054,Female,25,1,41,1,< 1 Year,No,28671,152,217
257,11505055,Male,23,1,46,1,< 1 Year,No,34695,152,114
258,11505056,Male,22,1,27,0,< 1 Year,Yes,2630,152,186
259,11505057,Female,46,1,28,0,1-2 Year,Yes,66828,26,31
260,11505058,Female,52,1,28,0,1-2 Year,Yes,53444,26,48
261,11505059,Male,49,1,41,0,1-2 Year,Yes,47702,124,298
262,11505060,Female,34,1,41,0,1-2 Year,Yes,2630,157,11
263,11505061,Male,43,1,19,0,1-2 Year,No,35119,124,280
264,11505062,Female,24,1,8,1,< 1 Year,No,45112,152,104
265,11505063,Male,67,1,8,0,1-2 Year,Yes,39097,25,295
266,11505064,Female,23,1,40,1,< 1 Year,No,2630,152,74
267,11505065,Male,69,1,28,0,> 2 Years,Yes,39281,3,262
268,11505066,Female,30,1,37,1,< 1 Year,No,31575,152,260
269,11505067,Female,43,1,28,0,1-2 Year,Yes,44636,124,58
270,11505068,Male,62,1,12,0,1-2 Year,Yes,2630,3,254
271,11505069,Male,40,1,0,0,1-2 Year,Yes,2630,26,200
272,11505070,Male,55,1,28,0,> 2 Years,Yes,43245,26,46
273,11505071,Female,23,1,28,1,< 1 Year,No,22499,160,153
274,11505072,Male,22,1,36,1,< 1 Year,No,25592,152,262
275,11505073,Male,21,1,15,0,< 1 Year,Yes,39094,152,178
276,11505074,Female,23,1,39,1,< 1 Year,No,2630,160,254
277,11505075,Male,25,1,36,1,< 1 Year,No,47870,152,196
278,11505076,Male,23,1,12,1,< 1 Year,No,27463,152,191
279,11505077,Male,75,1,28,0,1-2 Year,Yes,50681,26,66
280,11505078,Female,22,1,11,1,< 1 Year,No,30647,152,282
281,11505079,Female,25,1,14,1,< 1 Year,No,29659,152,205
282,11505080,Male,23,1,4,1,< 1 Year,No,2630,152,166
283,11505081,Female,37,1,28,0,1-2 Year,Yes,35342,26,176
284,11505082,Male,30,1,29,1,< 1 Year,No,29824,152,258
285,11505083,Male,22,1,37,1,< 1 Year,No,32714,152,60
286,11505084,Female,36,1,11,1,1-2 Year,Yes,39724,124,151
287,11505085,Male,43,1,28,0,> 2 Years,Yes,33488,26,200
288,11505086,Male,36,1,48,0,1-2 Year,Yes,2630,124,189
289,11505087,Male,39,1,28,0,1-2 Year,Yes,33793,124,282
290,11505088,Female,48,1,8,0,1-2 Year,Yes,44573,154,213
291,11505089,Male,48,1,28,0,> 2 Years,Yes,50829,26,271
292,11505090,Male,48,1,33,1,1-2 Year,No,24706,26,152
293,11505091,Female,23,1,3,1,< 1 Year,No,24093,160,15
294,11505092,Male,45,1,8,0,1-2 Year,Yes,30641,124,101
295,11505093,Male,41,1,28,1,1-2 Year,No,47924,124,51
296,11505094,Female,24,1,46,1,< 1 Year,No,28405,152,117
297,11505095,Male,49,1,28,0,> 2 Years,Yes,46664,122,82
298,11505096,Male,43,1,46,1,1-2 Year,No,26353,124,105
299,11505097,Female,24,1,5,0,< 1 Year,No,27886,152,142
300,11505098,Female,21,1,14,1,< 1 Year,No,26109,152,79
301,11505099,Male,22,1,13,1,< 1 Year,No,2630,160,111
302,11505100,Female,23,1,30,1,< 1 Year,No,26895,152,214
303,11505101,Female,73,1,3,1,1-2 Year,No,2630,26,114
304,11505102,Female,20,1,28,0,1-2 Year,Yes,35976,26,46
305,11505103,Female,25,1,41,1,< 1 Year,No,30203,152,222
306,11505104,Male,45,1,28,0,1-2 Year,Yes,36397,124,144
307,11505105,Female,46,1,28,0,1-2 Year,Yes,31454,26,28
308,11505106,Female,51,1,0,0,1-2 Year,Yes,2630,122,79
309,11505107,Male,40,1,46,0,1-2 Year,Yes,31453,124,200
310,11505108,Male,53,1,50,0,1-2 Year,Yes,24314,124,79
311,11505109,Male,49,1,28,0,1-2 Year,No,26694,25,275
312,11505110,Female,22,1,8,0,< 1 Year,Yes,38762,152,291
313,11505111,Male,28,1,28,1,< 1 Year,No,39460,152,197
314,11505112,Female,43,1,28,1,1-2 Year,No,53344,26,244
315,11505113,Male,45,1,48,0,1-2 Year,Yes,2630,157,168
316,11505114,Female,58,1,28,1,1-2 Year,No,41841,124,172
317,11505115,Male,37,1,15,1,1-2 Year,No,32831,26,106
318,11505116,Male,40,1,28,0,1-2 Year,Yes,43921,122,232
319,11505117,Female,24,1,12,0,< 1 Year,Yes,31318,152,226
320,11505118,Female,33,1,15,1,< 1 Year,No,27578,152,187
321,11505119,Female,45,1,8,0,1-2 Year,Yes,48732,26,248
322,11505120,Female,46,1,50,0,1-2 Year,Yes,34209,124,189
323,11505121,Female,28,1,8,1,< 1 Year,No,39696,152,80
324,11505122,Male,27,1,12,0,< 1 Year,Yes,2630,163,97
325,11505123,Male,22,1,28,0,< 1 Year,No,2630,156,73
326,11505124,Male,22,1,35,1,< 1 Year,No,25863,160,65
327,11505125,Male,22,1,30,1,< 1 Year,No,27384,152,208
328,11505126,Male,22,1,41,1,< 1 Year,No,31332,152,130
329,11505127,Male,32,1,28,0,< 1 Year,Yes,25802,152,177
330,11505128,Male,23,1,29,1,< 1 Year,No,24415,152,216
331,11505129,Female,46,1,11,0,1-2 Year,Yes,29907,26,109
332,11505130,Male,28,1,6,1,< 1 Year,No,2630,152,209
333,11505131,Male,39,1,28,0,1-2 Year,Yes,46365,124,241
334,11505132,Female,25,1,15,1,< 1 Year,No,33320,152,255
335,11505133,Male,21,1,37,0,< 1 Year,Yes,2630,152,283
336,11505134,Female,55,1,30,0,1-2 Year,Yes,38784,124,167
337,11505135,Female,41,1,28,0,1-2 Year,Yes,52392,13,215
338,11505136,Male,25,1,24,1,< 1 Year,No,31363,152,82
339,11505137,Female,26,1,16,1,< 1 Year,No,28776,152,75
340,11505138,Male,40,1,28,1,1-2 Year,No,2630,61,65
341,11505139,Female,39,1,28,0,1-2 Year,Yes,82662,26,227
342,11505140,Male,32,1,28,1,< 1 Year,No,27245,152,215
343,11505141,Female,27,1,41,1,< 1 Year,No,37504,152,292
344,11505142,Female,23,1,30,1,< 1 Year,No,39412,152,145
345,11505143,Female,39,1,0,0,1-2 Year,No,2630,122,265
346,11505144,Female,22,1,30,1,< 1 Year,No,28053,152,33
347,11505145,Male,24,1,11,1,< 1 Year,No,38304,152,242
348,11505146,Male,75,1,13,1,1-2 Year,No,45954,124,39
349,11505147,Male,31,1,28,0,< 1 Year,No,55867,152,207
350,11505148,Female,42,1,28,0,1-2 Year,No,62382,26,164
351,11505149,Female,40,1,8,1,1-2 Year,No,29272,26,90
352,11505150,Female,23,1,14,1,< 1 Year,No,22956,152,26
353,11505151,Male,53,1,8,0,1-2 Year,Yes,40363,26,234
354,11505152,Male,23,1,6,1,< 1 Year,No,21863,152,151
355,11505153,Female,26,1,28,1,< 1 Year,No,37200,152,252
356,11505154,Female,54,1,28,1,1-2 Year,No,53378,26,55
357,11505155,Female,69,1,41,1,1-2 Year,No,2630,160,223
358,11505156,Male,29,1,6,1,< 1 Year,No,2630,152,74
359,11505157,Male,35,1,46,0,1-2 Year,Yes,28382,26,83
360,11505158,Female,71,1,3,1,1-2 Year,No,2630,129,165
361,11505159,Male,27,1,43,0,< 1 Year,Yes,27803,152,228
362,11505160,Male,57,1,28,0,1-2 Year,Yes,25455,124,257
363,11505161,Male,22,1,28,1,< 1 Year,No,33238,26,47
364,11505162,Male,40,1,28,1,1-2 Year,No,38649,120,231
365,11505163,Male,24,1,8,0,< 1 Year,Yes,28963,152,15
366,11505164,Male,35,1,46,0,1-2 Year,Yes,25607,26,203
367,11505165,Male,49,1,29,0,> 2 Years,Yes,30649,124,98
368,11505166,Male,24,1,28,1,< 1 Year,No,46945,152,292
369,11505167,Male,22,1,47,1,< 1 Year,No,32941,152,119
370,11505168,Male,46,1,28,0,1-2 Year,Yes,47665,26,292
371,11505169,Male,76,1,41,0,> 2 Years,Yes,36603,26,296
372,11505170,Female,21,1,8,0,< 1 Year,Yes,38657,160,79
373,11505171,Female,34,1,30,1,1-2 Year,No,27304,152,92
374,11505172,Male,60,1,28,0,1-2 Year,Yes,36795,122,240
375,11505173,Female,28,1,41,1,< 1 Year,No,24068,152,122
376,11505174,Male,30,1,28,0,1-2 Year,Yes,27918,124,181
377,11505175,Male,26,1,11,1,< 1 Year,No,50218,152,161
378,11505176,Male,46,1,28,0,1-2 Year,Yes,37630,124,193
379,11505177,Male,21,1,33,1,< 1 Year,No,37358,152,274
380,11505178,Male,48,1,28,0,> 2 Years,Yes,31164,124,284
381,11505179,Male,48,1,28,0,1-2 Year,No,39199,124,67
382,11505180,Male,23,1,36,0,< 1 Year,Yes,38378,152,117
383,11505181,Female,39,1,45,0,1-2 Year,No,32380,31,239
384,11505182,Female,39,1,28,0,1-2 Year,Yes,59315,124,272
385,11505183,Male,24,1,22,1,< 1 Year,No,28981,152,202
386,11505184,Male,33,1,45,0,1-2 Year,Yes,24240,124,125
387,11505185,Male,32,1,36,0,< 1 Year,Yes,29273,124,209
388,11505186,Female,24,1,46,1,< 1 Year,No,23646,152,222
389,11505187,Male,70,1,28,0,1-2 Year,No,43144,26,223
390,11505188,Male,34,1,28,0,1-2 Year,Yes,24651,154,145
391,11505189,Male,44,1,8,1,1-2 Year,No,62657,124,46
392,11505190,Male,29,1,48,0,< 1 Year,Yes,2630,156,218
393,11505191,Female,66,1,28,0,1-2 Year,Yes,45611,122,216
394,11505192,Male,59,1,20,0,1-2 Year,Yes,2630,154,147
395,11505193,Male,39,1,28,0,1-2 Year,Yes,28708,26,163
396,11505194,Male,21,1,46,1,< 1 Year,No,26771,152,284
397,11505195,Female,26,1,28,1,< 1 Year,No,59737,152,96
398,11505196,Female,46,1,28,1,> 2 Years,Yes,40187,26,47
399,11505197,Female,23,1,8,1,< 1 Year,No,48889,151,156
400,11505198,Female,24,1,28,1,< 1 Year,No,48937,152,206
401,11505199,Male,37,1,3,0,1-2 Year,Yes,27300,26,151
402,11505200,Female,24,1,10,0,< 1 Year,Yes,37453,152,297
403,11505201,Female,43,1,46,0,1-2 Year,No,2630,122,270
404,11505202,Male,49,1,28,0,> 2 Years,Yes,49110,26,12
405,11505203,Female,29,1,28,0,< 1 Year,Yes,26170,124,161
406,11505204,Male,34,1,39,0,1-2 Year,Yes,2630,154,79
